XID,Unit Type,Unit Size,Area Type,Price,Possession Date
r26134,Residential plot,4455 sq.ft,Super Area,9.88 Cr,Possession by Jan'13
r26134,Residential plot,4860 sq.ft,Super Area,10.78 Cr,Possession by Jan'13
r26134,Residential plot,5130 sq.ft,Super Area,14.25 Cr,Possession by Jan'13
r404456,3 BHK,1140 sq.ft,Super Area,1.75 Cr,Possession by Nov'27
r404456,3 BHK,1235 sq.ft,Super Area,1.89 Cr,Possession by Nov'27
r404456,3 BHK,1273 sq.ft,Super Area,1.95 Cr,Possession by Nov'27
r404456,3 BHK,1328 sq.ft,Super Area,2.04 Cr,Possession by Nov'27
r404456,3 BHK,1335 sq.ft,Super Area,2.05 Cr,Possession by Nov'27
r404456,3 BHK,1420 sq.ft,Super Area,2.18 Cr,Possession by Nov'27
r404456,3 BHK,1496 sq.ft,Super Area,2.30 Cr,Possession by Nov'27
r404456,3 BHK,1510 sq.ft,Super Area,2.32 Cr,Possession by Nov'27
r404456,3 BHK,1530 sq.ft,Super Area,2.35 Cr,Possession by Nov'27
r404456,2 BHK,952 sq.ft,Super Area,1.52 Cr,Possession by Nov'27
