District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,chec_regno
Jaipur,SNG Dusad Garden,Mixed (Residential And Commercial),SNG REALESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2017-806,RAJ/P/2017/379 (24/10/2017),View,RAJ_P_2017_379 (24_10_2017)
Jaipur,Sunrisers,GROUP HOUSING,SNG REALESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2017-774,RAJ/P/2017/378 (24/10/2017),View,RAJ_P_2017_378 (24_10_2017)
Jaipur,VARDHMAN EMPIRE,GROUP HOUSING,SHREENATH COLONIZER DELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-773,RAJ/P/2017/400 (31/10/2017),View,RAJ_P_2017_400 (31_10_2017)
Udaipur,Amarkunj,GROUP HOUSING,K P TOWERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-811,RAJ/P/2018/587 (03/01/2018),View,RAJ_P_2018_587 (03_01_2018)
Udaipur,MATRA CHHAYA APARTMENT,GROUP HOUSING,DCB TOWN PLANNERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-784,RAJ/P/2018/751 (06/06/2018),View,RAJ_P_2018_751 (06_06_2018)
Jaipur,Wisteria,GROUP HOUSING,ELEMENTS INFRADEVELOPMENT PRIVATE LIMITED,RAJ-RERA-APP-P-2017-838,RAJ/P/2017/545 (14/12/2017),View,RAJ_P_2017_545 (14_12_2017)
Jaipur,THE MANSION BY ROYAL ENSIGN,GROUP HOUSING,UNIVERSAL CORPORATION,RAJ-RERA-APP-P-2017-820,RAJ/P/2017/370 (18/10/2017),View,RAJ_P_2017_370 (18_10_2017)
Alwar,CZAR,GROUP HOUSING,ADVIKA INFRASTRUCTURE AND DEVLOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-777,RAJ/P/2017/522 (12/12/2017),View,RAJ_P_2017_522 (12_12_2017)
Alwar,"Gulmohar Woods,Jacarada Heights,Sakura Homes,Sakura Business",GROUP HOUSING,FALCON REALTY SERVICES PRIVATE LIMITED,RAJ-RERA-APP-P-2017-817,RAJ/P/2017/407 (01/11/2017),View,RAJ_P_2017_407 (01_11_2017)
Jaipur,SAMRIDDHI SEVEN HEAVEN,GROUP HOUSING,G S BUILD ESTATE PVT LTD,RAJ-RERA-APP-P-2017-796,RAJ/P/2017/239 (27/09/2017),View,RAJ_P_2017_239 (27_09_2017)
Jaipur,GALAXY ENCLAVE,PLOTTED,GALAXY REALMART PRIVATE LIMITED,RAJ-RERA-APP-P-2017-805,RAJ/P/2017/448 (17/11/2017),View,RAJ_P_2017_448 (17_11_2017)
Bhilwara,GOVINDAM,Commercial,SHRI KRISHNA COTTON GINNING AND PRESSING FACTORY,RAJ-RERA-APP-P-2017-834,RAJ/P/2017/576 (27/12/2017),View,RAJ_P_2017_576 (27_12_2017)
Ajmer,YUVRAJ RESIDENCY,GROUP HOUSING,BLUE EARTH DEVELOPERS,RAJ-RERA-APP-P-2017-825,RAJ/P/2017/574 (27/12/2017),View,RAJ_P_2017_574 (27_12_2017)
Jaipur,ATMOSPHERE GRAND-1,GROUP HOUSING,SAMANVAY INFRABUILD LLP,RAJ-RERA-APP-P-2017-794,RAJ/P/2018/633 (08/02/2018),View,RAJ_P_2018_633 (08_02_2018)
Jaipur,ATMOSPHERE GRAND-II,GROUP HOUSING,SAMANVAY INFRABUILD LLP,RAJ-RERA-APP-P-2017-792,RAJ/P/2018/634 (08/02/2018),View,RAJ_P_2018_634 (08_02_2018)
Jaipur,Unique Ace,Commercial,Daisy Developers,RAJ-RERA-APP-P-2017-782,RAJ/P/2017/216 (25/09/2017),View,RAJ_P_2017_216 (25_09_2017)
Jaipur,KSHITIJ COLONIZERS AFFORDABLE HOUSING PHASE I,GROUP HOUSING,Kshitij Colonizers Private Limited,RAJ-RERA-APP-P-2017-776,RAJ/P/2017/497 (06/12/2017),View,RAJ_P_2017_497 (06_12_2017)
Barmer,Apna Awaas,GROUP HOUSING,GROUND CRAFTS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-829,RAJ/P/2017/381 (25/10/2017),View,RAJ_P_2017_381 (25_10_2017)
Bikaner,MANGLAM AADHAR-BIKANER,GROUP HOUSING,MANGLAM BUILD DEVELOPERS LIMITED,RAJ-RERA-APP-P-2017-798,RAJ/P/2017/196 (19/09/2017),View,RAJ_P_2017_196 (19_09_2017)
Ajmer,Padmawati Apartments,Mixed (Residential And Commercial),Shri Panchsheel Buildhome Private Limited,RAJ-RERA-APP-P-2017-828,RAJ/P/2017/363 (17/10/2017),View,RAJ_P_2017_363 (17_10_2017)
Jaipur,Airport Residency,GROUP HOUSING,Mass Infra Projects,RAJ-RERA-APP-P-2017-837,RAJ/P/2017/544 (14/12/2017),View,RAJ_P_2017_544 (14_12_2017)
Sikar,ROYAL ELINA,GROUP HOUSING,SHRI HANUMANT REAL ESTATE,RAJ-RERA-APP-P-2017-797,RAJ/P/2017/547 (14/12/2017),View,RAJ_P_2017_547 (14_12_2017)
Alwar,SURBHI PHASE V,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2017-809,RAJ/P/2017/362 (17/10/2017),View,RAJ_P_2017_362 (17_10_2017)
Ajmer,ROSEWOOD APARTMENTS,GROUP HOUSING,ARG Infra Developers Private Limited,RAJ-RERA-APP-P-2017-821,RAJ/P/2017/403 (31/10/2017),View,RAJ_P_2017_403 (31_10_2017)
Alwar,KRISHNA COMPLEX,Commercial,SUPRA FINANCIAL SERVICES LTD,RAJ-RERA-APP-P-2017-781,RAJ/P/2017/390 (27/10/2017),View,RAJ_P_2017_390 (27_10_2017)
Jaipur,Farm House & Resort plots Scheme at village Govindpura Ropada,PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2017-780,RAJ/P/2017/350 (16/10/2017),View,RAJ_P_2017_350 (16_10_2017)
Udaipur,Hitawalas Shree Bhairav Apartment,GROUP HOUSING,NEO CONSTRUCTIONS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-826,RAJ/P/2017/527 (12/12/2017),View,RAJ_P_2017_527 (12_12_2017)
Udaipur,Devaurum Hitawalas Apartment,GROUP HOUSING,NEO CONSTRUCTIONS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-823,RAJ/P/2017/531 (12/12/2017),View,RAJ_P_2017_531 (12_12_2017)
Udaipur,Hitawala Prabhushree Apartments,GROUP HOUSING,NEO CONSTRUCTIONS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-824,RAJ/P/2017/508 (11/12/2017),View,RAJ_P_2017_508 (11_12_2017)
Jaipur,ARISE,GROUP HOUSING,PREMIER DREAM HOMES LLP,RAJ-RERA-APP-P-2017-783,RAJ/P/2017/401 (31/10/2017),View,RAJ_P_2017_401 (31_10_2017)
Jaipur,Gyanvardhan Heights,GROUP HOUSING,Abhishek Buildhomes LLP,RAJ-RERA-APP-P-2017-789,RAJ/P/2017/205 (20/09/2017),View,RAJ_P_2017_205 (20_09_2017)
Jaipur,ARG ANANTA-II,GROUP HOUSING,ARG Developers Private Limited,RAJ-RERA-APP-P-2017-835,RAJ/P/2017/209 (20/09/2017),View,RAJ_P_2017_209 (20_09_2017)
Jaipur,Dreamax Plaza,Commercial,Reyansh Infrastructure Private Limited,RAJ-RERA-APP-P-2017-818,RAJ/P/2017/357 (17/10/2017),View,RAJ_P_2017_357 (17_10_2017)
Jaipur,Saavyas,GROUP HOUSING,SKG B3B LLP,RAJ-RERA-APP-P-2017-787,RAJ/P/2017/186 (15/09/2017),View,RAJ_P_2017_186 (15_09_2017)
Jaipur,JAL VAYU TOWERS,GROUP HOUSING,AIR FORCE NAVAL HOUSING BOARD,RAJ-RERA-APP-P-2017-813,RAJ/P/2017/553 (18/12/2017),View,RAJ_P_2017_553 (18_12_2017)
Alwar,Terra City 2,PLOTTED,CANOPY GRANVIZ DEVELOPERS,RAJ-RERA-APP-P-2017-800,RAJ/P/2017/364 (17/10/2017),View,RAJ_P_2017_364 (17_10_2017)
Jodhpur,CORAL GOLF GREENS,GROUP HOUSING,CORAL INFRAGOLD PRIVATE LIMITED,RAJ-RERA-APP-P-2017-778,RAJ/P/2017/502 (11/12/2017),View,RAJ_P_2017_502 (11_12_2017)
Bikaner,CORAL SOCCER,Mixed (Residential And Commercial),CORAL INFRAGOLD PRIVATE LIMITED,RAJ-RERA-APP-P-2017-810,RAJ/P/2017/523 (12/12/2017),View,RAJ_P_2017_523 (12_12_2017)
Alwar,Business Arcade,Commercial,Modest structures pvt ltd,RAJ-RERA-APP-P-2017-827,RAJ/P/2017/560 (21/12/2017),View,RAJ_P_2017_560 (21_12_2017)
Jaipur,Aastha Classique,GROUP HOUSING,AASTHA BUILDHOME DEVELOPERS PVT LTD,RAJ-RERA-APP-P-2017-790,RAJ/P/2017/377 (24/10/2017),View,RAJ_P_2017_377 (24_10_2017)
Jaipur,Unique City (Phase - II),GROUP HOUSING,Unique Madhuban Homes Private Limited,RAJ-RERA-APP-P-2017-763,RAJ/P/2017/372 (18/10/2017),View,RAJ_P_2017_372 (18_10_2017)
Jaipur,Prime Ville,GROUP HOUSING,Arihant Enterprises,RAJ-RERA-APP-P-2017-758,RAJ/P/2017/328 (11/10/2017),View,RAJ_P_2017_328 (11_10_2017)
Jaipur,ROYAL ORNATE,GROUP HOUSING,MANOHAR BUILDERS AND DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-757,RAJ/P/2017/474 (24/11/2017),View,RAJ_P_2017_474 (24_11_2017)
Jaipur,Prime Ville,GROUP HOUSING,VIVEK CHORDIA,RAJ-RERA-APP-P-2017-755,RAJ/P/2017/326 (11/10/2017),View,RAJ_P_2017_326 (11_10_2017)
Jaipur,Prime Ville Extention,GROUP HOUSING,VIVEK CHORDIA,RAJ-RERA-APP-P-2017-756,RAJ/P/2017/327 (11/10/2017),View,RAJ_P_2017_327 (11_10_2017)
Jaipur,Aangan Arcade,Commercial,SIDDHA INFRA PROJECTS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-764,RAJ/P/2017/181 (15/09/2017),View,RAJ_P_2017_181 (15_09_2017)
Udaipur,SHUB SUNDER TOWER,GROUP HOUSING,VALLEY HILLVIEW HOTEL AND RESORT PRIVATE LIMITED,RAJ-RERA-APP-P-2017-762,RAJ/P/2017/472 (23/11/2017),View,RAJ_P_2017_472 (23_11_2017)
Jaipur,GOLDEN LEAF,Mixed (Residential And Commercial),Triveni Kripa Enterprises Limited Liability Partnership,RAJ-RERA-APP-P-2017-753,RAJ/P/2017/344 (13/10/2017),View,RAJ_P_2017_344 (13_10_2017)
Alwar,Sky View Tower,Commercial,SUN VIEW BUILDCON PRIVATE LTD,RAJ-RERA-APP-P-2017-768,RAJ/P/2018/615 (24/01/2018),View,RAJ_P_2018_615 (24_01_2018)
Udaipur,Matrix Park,GROUP HOUSING,Riddhi Siddhi Infraprojects Private Limited,RAJ-RERA-APP-P-2017-765,RAJ/P/2017/515 (12/12/2017),View,RAJ_P_2017_515 (12_12_2017)
Jaipur,VARDHMAN EMPIRE,GROUP HOUSING,Shree Ram Estates,RAJ-RERA-APP-P-2017-749,RAJ/P/2017/342 (13/10/2017),View,RAJ_P_2017_342 (13_10_2017)
Bharatpur,Om Residency,GROUP HOUSING,Surya Builders and Developers,RAJ-RERA-APP-P-2017-754,RAJ/P/2017/420 (07/11/2017),View,RAJ_P_2017_420 (07_11_2017)
Jaipur,MANGLAM AANANDA PHASE-II,GROUP HOUSING,MANGLAM BUILD DEVELOPERS LIMITED,RAJ-RERA-APP-P-2017-750,RAJ/P/2017/329 (11/10/2017),View,RAJ_P_2017_329 (11_10_2017)
Jodhpur,Unique Golf Estate (Phase IV),GROUP HOUSING,Skypeer Infra Build LLP,RAJ-RERA-APP-P-2017-767,RAJ/P/2017/507 (11/12/2017),View,RAJ_P_2017_507 (11_12_2017)
Jaipur,AVANA,GROUP HOUSING,Shubh Builders Developers,RAJ-RERA-APP-P-2017-760,RAJ/P/2017/360 (17/10/2017),View,RAJ_P_2017_360 (17_10_2017)
Jaipur,Cedar Homes,GROUP HOUSING,Grandiose Buildteck Pvt. Ltd.,RAJ-RERA-APP-P-2017-752,RAJ/P/2017/413 (03/11/2017),View,RAJ_P_2017_413 (03_11_2017)
Bhilwara,SHANTI TOWER,GROUP HOUSING,ARUNODAYA BUILDERS,RAJ-RERA-APP-P-2017-761,RAJ/P/2017/565 (22/12/2017),View,RAJ_P_2017_565 (22_12_2017)
Jaipur,GRANDEUR GROUP HOUSING,GROUP HOUSING,BUILDERS ALLIANCE PRIVATE LIMITED,RAJ-RERA-APP-P-2017-751,RAJ/P/2017/488 (29/11/2017),View,RAJ_P_2017_488 (29_11_2017)
Alwar,HFL-Presidency Estates- Phase I,GROUP HOUSING,Hindustan Fibres Limited,RAJ-RERA-APP-P-2017-731,RAJ/P/2017/532 (12/12/2017),View,RAJ_P_2017_532 (12_12_2017)
Alwar,Kalka Royal Residency,GROUP HOUSING,KALKA HOME DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-733,RAJ/P/2017/417 (06/11/2017),View,RAJ_P_2017_417 (06_11_2017)
Alwar,KALKA THE PEARL,GROUP HOUSING,KALKA HOME DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-734,RAJ/P/2017/411 (02/11/2017),View,RAJ_P_2017_411 (02_11_2017)
Alwar,Kalka Royal Residency,GROUP HOUSING,KALKA HOME DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-733,RAJ/P/2017/417 (06/11/2017),View,RAJ_P_2017_417 (06_11_2017)
Kota,VASALI NAGAR,PLOTTED,Rahial Associates,RAJ-RERA-APP-P-2017-743,RAJ/P/2017/455 (17/11/2017),View,RAJ_P_2017_455 (17_11_2017)
Jaipur,THE ROYAL ANMOL,GROUP HOUSING,MAPLE LUXURY HOMES,RAJ-RERA-APP-P-2017-727,RAJ/P/2017/361 (17/10/2017),View,RAJ_P_2017_361 (17_10_2017)
Udaipur,MARYADA HEIGHTS,GROUP HOUSING,MULTY REALTORS,RAJ-RERA-APP-P-2017-739,RAJ/P/2017/454 (17/11/2017),View,RAJ_P_2017_454 (17_11_2017)
Udaipur,Chetak Cinema,Commercial,CHETAK CINEMA,RAJ-RERA-APP-P-2017-728,RAJ/P/2017/537 (13/12/2017),View,RAJ_P_2017_537 (13_12_2017)
Pali,SHRIPAL RESIDENCY,GROUP HOUSING,Licence Trade India,RAJ-RERA-APP-P-2017-741,RAJ/P/2018/588 (03/01/2018),View,RAJ_P_2018_588 (03_01_2018)
Jodhpur,AMBEY LOTUS RESIDENCY,Mixed (Residential And Commercial),Sahab Raj Nahta,RAJ-RERA-APP-P-2017-748,RAJ/P/2017/409 (02/11/2017),View,RAJ_P_2017_409 (02_11_2017)
Bhilwara,SURBHI SQUARE,Commercial,SURBHI HOLDING PRIVATE LIMITED,RAJ-RERA-APP-P-2017-737,RAJ/P/2017/541 (13/12/2017),View,RAJ_P_2017_541 (13_12_2017)
Udaipur,Ghar Aangan,GROUP HOUSING,KAJRI MINERALS PVT LTD,RAJ-RERA-APP-P-2017-745,RAJ/P/2017/312 (10/10/2017),View,RAJ_P_2017_312 (10_10_2017)
Jaipur,GHP INDRALOK,GROUP HOUSING,SHREE GOPAL HOUSING AND PLANTATION CORPORATION,RAJ-RERA-APP-P-2017-732,RAJ/P/2017/343 (13/10/2017),View,RAJ_P_2017_343 (13_10_2017)
Jaipur,Unique New Town -Phase-II,GROUP HOUSING,Jaipur Dream Buildcon Pvt Ltd,RAJ-RERA-APP-P-2017-724,RAJ/P/2017/231 (27/09/2017),View,RAJ_P_2017_231 (27_09_2017)
Ajmer,Unique International City,PLOTTED,Uniue Mantra Realty,RAJ-RERA-APP-P-2017-722,RAJ/P/2017/559 (21/12/2017),View,RAJ_P_2017_559 (21_12_2017)
Jaipur,Vardhman's Horizon,GROUP HOUSING,RICHWELL ENTERPRISES PRIVATE LIMITED,RAJ-RERA-APP-P-2017-717,RAJ/P/2017/338 (13/10/2017),View,RAJ_P_2017_338 (13_10_2017)
Jaipur,Vardhman's Sampada,GROUP HOUSING,RICHWELL ENTERPRISES PRIVATE LIMITED,RAJ-RERA-APP-P-2017-716,RAJ/P/2017/339 (13/10/2017),View,RAJ_P_2017_339 (13_10_2017)
Alwar,SIGNATURE RAJ VILAS,Mixed (Residential And Commercial),AASHA DREAMESTATE LLP,RAJ-RERA-APP-P-2017-723,RAJ/P/2017/421 (07/11/2017),View,RAJ_P_2017_421 (07_11_2017)
Jodhpur,Unique Golf Estate (Phase - II),GROUP HOUSING,Skypeer Infra Build LLP,RAJ-RERA-APP-P-2017-718,RAJ/P/2017/478 (27/11/2017),View,RAJ_P_2017_478 (27_11_2017)
Alwar,COLOSSAL RESIDENCY,GROUP HOUSING,CHANDRAPRABHU BUILDWELL PRIVATE LIMITED,RAJ-RERA-APP-P-2017-721,RAJ/P/2017/405 (31/10/2017),View,RAJ_P_2017_405 (31_10_2017)
Jaipur,AAMOD,GROUP HOUSING,GOLDENDUNES BUILDERS AND DEVELOPERS PVT LTD,RAJ-RERA-APP-P-2017-715,RAJ/P/2017/376 (24/10/2017),View,RAJ_P_2017_376 (24_10_2017)
Jaipur,Vishwaas 24,GROUP HOUSING,VISHWAAS AASHIYANA PRIVATE LIMITED,RAJ-RERA-APP-P-2017-725,RAJ/P/2017/256 (29/09/2017),View,RAJ_P_2017_256 (29_09_2017)
Jaipur,VASUNDHARA AANCHAL,GROUP HOUSING,SHREE VINAYAK GROUP,RAJ-RERA-APP-P-2017-719,RAJ/P/2017/336 (13/10/2017),View,RAJ_P_2017_336 (13_10_2017)
Alwar,"RLF ""The Park""",GROUP HOUSING,RLF Infratech Private Limited,RAJ-RERA-APP-P-2017-720,RAJ/P/2017/458 (17/11/2017),View,RAJ_P_2017_458 (17_11_2017)
Jaipur,Masterpiece,Commercial,MODEST INFRA LIMITED,RAJ-RERA-APP-P-2017-711,RAJ/P/2017/371 (18/10/2017),View,RAJ_P_2017_371 (18_10_2017)
Udaipur,Siddhi Vinayak Residency,GROUP HOUSING,Shree Ramakrishna Infraestate LLP,RAJ-RERA-APP-P-2017-709,RAJ/P/2017/402 (31/10/2017),View,RAJ_P_2017_402 (31_10_2017)
Jaipur,Unique New Town- Phase-I,GROUP HOUSING,Jaipur Dream Buildcon Pvt Ltd,RAJ-RERA-APP-P-2017-710,RAJ/P/2017/230 (27/09/2017),View,RAJ_P_2017_230 (27_09_2017)
Alwar,Nimai Hills,GROUP HOUSING,Nimai Developers Pvt Ltd,RAJ-RERA-APP-P-2017-708,RAJ/P/2017/277 (03/10/2017),View,RAJ_P_2017_277 (03_10_2017)
Jaipur,Apna Ashiyana,GROUP HOUSING,SIDHESHWAR PRIME BUILDERS AND CONSTRUCTIONS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-705,RAJ/P/2017/395 (27/10/2017),View,RAJ_P_2017_395 (27_10_2017)
Alwar,The Habitat,GROUP HOUSING,ARYANS BUILDWELL PRIVATE LIMITED,RAJ-RERA-APP-P-2017-701,RAJ/P/2017/518 (12/12/2017),View,RAJ_P_2017_518 (12_12_2017)
Bikaner,IMPERIAL PARADISE,GROUP HOUSING,BIKANER REAL ESTATE DEVELOPERS,RAJ-RERA-APP-P-2017-707,RAJ/P/2017/144 (05/09/2017),View,RAJ_P_2017_144 (05_09_2017)
Jaipur,Shyam Dham Heights,GROUP HOUSING,Amber Mercantiles Limited,RAJ-RERA-APP-P-2017-702,RAJ/P/2017/332 (12/10/2017),View,RAJ_P_2017_332 (12_10_2017)
Jaipur,Gulmohar Park,GROUP HOUSING,Shivaay Affodable Homes,RAJ-RERA-APP-P-2017-703,RAJ/P/2017/187 (19/09/2017),View,RAJ_P_2017_187 (19_09_2017)
Jaipur,MALL OF JAIPUR,Commercial,PALAK BUILDVISION LLP,RAJ-RERA-APP-P-2017-704,RAJ/P/2017/179 (14/09/2017),View,RAJ_P_2017_179 (14_09_2017)
Jodhpur,Unique Apex Towers Phase III,GROUP HOUSING,MANTRA LIFESTYLE HOMES PRIVATE LIMITED,RAJ-RERA-APP-P-2017-699,RAJ/P/2017/543 (13/12/2017),View,RAJ_P_2017_543 (13_12_2017)
Jodhpur,Unique Apex Towers (Phase - II),GROUP HOUSING,MANTRA LIFESTYLE HOMES PRIVATE LIMITED,RAJ-RERA-APP-P-2017-698,RAJ/P/2017/554 (19/12/2017),View,RAJ_P_2017_554 (19_12_2017)
Jaipur,VEDANT APARTMENTS,GROUP HOUSING,NARENDRA KUMAR BHALOTHIA,RAJ-RERA-APP-P-2017-694,RAJ/P/2017/310 (10/10/2017),View,RAJ_P_2017_310 (10_10_2017)
